,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,date_,city_name,order_id,cart_id,dim_customer_key,procured_quantity,unit_selling_price,total_discount_amount,product_id,total_weighted_landing_price
6280,2734450,2734450,2734450,2022-04-09,Delhi,113997777,178056321,9650395,1,24.0,0.0,403223,19.231
6281,22306612,109422,109422,2022-06-02,Delhi,127455758,212970560,4884439,1,24.0,0.0,333785,18.0
6282,9517555,1954080,1954080,2022-04-29,Delhi,118531738,188684050,9204369,1,14.0,0.0,3898,9.0
6283,16318979,933083,933083,2022-07-01,Delhi,135030970,229333989,8627920,2,30.0,0.0,12872,58.3
6284,37674133,3324178,3324178,2022-05-01,Delhi,119155469,185809896,5845119,1,76.0,0.0,440031,69.0
6285,20219298,4833402,4833402,2022-07-02,Mumbai,135395803,230507050,7436048,2,60.0,0.0,389704,66.8475
6286,2738532,2738532,2738532,2022-04-13,Delhi,114865312,178821091,4669895,1,25.0,0.0,19512,24.15
6287,33783034,5387410,5387410,2022-06-11,Delhi,129801636,215585477,14071500,1,28.0,0.0,440219,26.078003
6288,37926389,3576434,3576434,2022-05-02,Mumbai,119305212,191937100,2487533,1,41.0,0.0,369752,31.036297
6289,32736033,4340409,4340409,2022-06-20,Delhi,132114653,223642935,5668844,1,16.0,0.0,440230,13.0
6290,2925802,2925802,2925802,2022-04-07,Delhi,113580568,176932922,39644,1,64.0,0.0,108927,63.209175
6291,41573073,1242393,1242393,2022-05-15,Delhi,122562049,200452450,15404265,1,33.0,0.0,4943,27.0
6292,34173221,5777597,5777597,2022-06-19,HR-NCR,131860555,223650307,81745,1,24.0,0.0,390680,12.757571
6293,26976623,4779433,4779433,2022-06-09,Delhi,129260426,217427426,17843155,1,155.0,0.0,18575,177.79974
6294,7736873,173398,173398,2022-04-26,Delhi,117829006,187422806,15458498,1,242.0,0.0,160,224.42601
6295,2269993,2269993,2269993,2022-04-06,HR-NCR,113486849,176684780,16424169,1,80.0,0.0,365455,45.0
6296,25120790,2923600,2923600,2022-06-06,Mumbai,128405455,208675628,19457586,1,61.0,0.0,485421,54.60486
6297,30599565,2203941,2203941,2022-06-16,Bengaluru,131208715,222210833,13422679,1,35.0,0.0,481018,35.0
6298,32375568,3979944,3979944,2022-06-13,Delhi,130298236,209431211,18503283,1,369.0,0.0,480130,279.69452
6299,2960161,2960161,2960161,2022-04-11,HR-NCR,114561802,179518916,1121875,1,22.0,0.0,445675,18.199999
6300,5624236,5624236,5624236,2022-04-10,Delhi,114304281,178464799,8008654,2,30.0,0.0,68366,38.997998
6301,42938849,2608169,2608169,2022-05-12,Delhi,121839235,198603698,13220599,1,39.0,0.0,378161,34.762
6302,27085978,4888788,4888788,2022-06-05,Bengaluru,128114318,208297479,17321784,1,37.0,0.0,37744,11.0
6303,14174932,6611457,6611457,2022-04-29,Delhi,118623580,189505991,9461155,1,19.0,0.0,34354,11.0
6304,38182706,3832751,3832751,2022-05-09,HR-NCR,121157419,196124415,125887,1,128.0,0.0,69047,85.0
6305,36021597,1671642,1671642,2022-05-08,Mumbai,120903302,196129355,19045649,1,89.0,0.0,74690,79.36452
6306,20012241,4626345,4626345,2022-07-02,Bengaluru,135435232,230577300,1576311,1,16.0,0.0,445675,14.97252
6307,30816733,2421109,2421109,2022-06-12,Bengaluru,130186701,216566746,17124058,1,44.0,0.0,3881,29.0
6308,29790399,1394775,1394775,2022-06-12,Delhi,130260519,219952195,13552203,2,174.0,0.0,61510,339.48884
6309,4112004,4112004,4112004,2022-04-04,HR-NCR,112900265,165439852,10304904,1,126.0,0.0,168,119.33598
6310,7537654,7537654,7537654,2022-04-14,Delhi,115168099,179655652,5427207,1,65.0,0.0,93038,55.276226
6311,34141092,5745468,5745468,2022-06-13,Mumbai,130495082,220531090,17405462,1,61.0,0.0,483025,37.4
6312,16885559,1499663,1499663,2022-07-01,Delhi,135137827,230039557,20605267,1,152.0,0.0,388638,137.57266
6313,40620666,289986,289986,2022-05-16,Delhi,122978243,201532195,4639892,1,70.0,0.0,389740,53.025475
6314,11809091,4245616,4245616,2022-04-27,Delhi,118157718,184133441,2229069,1,18.0,0.0,14795,11.0
6315,20450979,5065083,5065083,2022-07-10,HR-NCR,137696877,234242983,19768278,1,10.0,0.0,361151,8.586022
6316,37726463,3376508,3376508,2022-05-09,Delhi,121125728,196709426,2498426,1,250.0,0.0,15932,217.50403
6317,40302694,5952739,5952739,2022-05-09,Delhi,121110820,196669845,18219605,1,26.0,0.0,333785,20.0
6318,3516733,3516733,3516733,2022-04-06,Delhi,113426367,176512115,9866876,1,129.0,0.0,479618,101.25
6319,17528347,2142451,2142451,2022-07-03,Delhi,135651451,230614849,20687251,1,29.0,0.0,391306,18.74653
6320,39602262,5252307,5252307,2022-05-08,Mumbai,120719868,195668184,19026548,1,349.0,0.0,30262,244.295
6321,32992287,4596663,4596663,2022-06-18,Bengaluru,131560965,223019971,17397702,1,36.0,0.0,436336,28.4
6322,714753,714753,714753,2022-04-09,Bengaluru,114055537,178190114,18413620,1,120.0,0.0,481912,79.906028
6323,19133727,3747831,3747831,2022-07-08,Bengaluru,137000042,232303638,18395301,2,50.0,0.0,484343,166.002348
6324,45616408,5285728,5285728,2022-05-13,Bengaluru,122013050,199066843,3605912,1,29.0,0.0,438113,23.0
6325,3704506,3704506,3704506,2022-04-06,Delhi,113292223,175642344,84315,1,20.0,0.0,421703,11.0
6326,24060843,1863653,1863653,2022-06-05,Bengaluru,128111530,214622325,4631047,1,22.0,0.0,105,20.0
6327,6468534,6468534,6468534,2022-04-05,Delhi,113103139,175666815,1371913,1,60.0,0.0,15933,45.0
6328,39130503,4780548,4780548,2022-05-01,Delhi,119039058,190293522,6074084,1,94.0,0.0,48058,85.94999
6329,34809306,459351,459351,2022-05-02,Delhi,119288525,171038610,3619673,1,14.0,0.0,467637,8.0
6330,36594358,2244403,2244403,2022-05-05,HR-NCR,120015466,193869242,7716364,1,126.0,0.0,168,119.336
6331,6802014,6802014,6802014,2022-04-12,Mumbai,114664602,179814095,801392,2,52.0,0.0,467653,50.858554
6332,5403261,5403261,5403261,2022-04-04,Bengaluru,113053718,171514433,15893174,1,33.0,0.0,234248,30.004997
6333,46686857,6356177,6356177,2022-05-21,Mumbai,124117087,204419378,1269301,1,38.0,0.0,45059,24.697409
